Awarding Department,Scholarship Intent,Criteria,Major,Class Level,Enrollment Status,Enrollment Requirement,Financial Need as determined by the FAFSA and/or CA Dream App,Citizenship,GPA,Contact Person,Campus Address,Street Address,Phone Number,Email,Web page,Number of Awards,Award,Scopes,Deadline,Supplemental Questions
 Engineering, To give a prize each year for an essay written in an undergraduate English class.,"
1. First generation college students
2. Show financial need through the FASFA eligibility", Single:  English, Undergrad:  Junior; Grad:  N/A, Any, Undergrad:  HALF-TIME; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Ty Robinson, HH 219," 1600 Holloway, San Francisco, California 94132", (415) 405-0329, sch_art@sfsu.edu, https: //lca.sfsu.edu/scholarships, varies,varies,College of Science and Engineering,04/05/2024,Are you continuing in the Economics Program in Fall 2024? What is your research interest and how will the scholarship award help you in your academic goals? REQUIRED: Please provide a copy of your unofficial SFSU transcript Please provide a copy of your resume
 Lam Family College of Business Finance Department," The scholarship is awarded annually to Electrical/ Computer Engineering students who have demonstrated good scholarship, persistent effort, and dedication to the Engineering student activities.", Goal of continuing studies in Italian," Multiple:  Electrical Engineering, Computer Science"," Undergrad:  N/A, Grad:  Masters/Credential/PhD/EDD", Continuing, Undergrad:  1 UNIT; Grad:  N/A, Required, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Erin Macke, HH 538," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-7662, Tyrob11@sfsu.edu, http: //history.sfsu.edu/content/scholarships, varies,"$1,000",Graduate College of Education,10/28/2024,"Will you be continuing on as a student in the coming fall semester? Submit a 400-600 word essay demonstrating financial need as well as your passion for the field of geography and the environment, and any unusual challenges. Please upload your current unofficial SFSU transcript."
 College of Liberal & Creative Arts," The purpose of the Future Investment Scholarship is to provide a full Scholarship to two students who are involved in the
Student Sustainable Investment Fund (SSIF).", Students are nominated by faculty members.," Business Administration concentration in finance, Economics and Environmental Studies."," Undergrad:  Any, Grad:  N/A", Any, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.3; Grad GPA:  3.3, School of Engineering, TH 323," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338- 1031, engaoc@sfsu.edu, http: //music.sfsu.edu, 1,"$1,000",Nursing,11/10/2023,"Essay 1: Where have you been? Describe your previous community service and impact, relevant work experience, or other life experiences that qualify you for a GCOE scholarship. (approx. 200 words; 6 points possible) Essay 2: Where do you want to go? Describe your educational and career goals, why these are important to the communities that you are going to serve, and how a scholarship could help you meet these goals. (approx. 200 words; 6 points possible) Essay 3: What do you need? Describe your working situation or other financial circumstances that increase your need for assistance. (approx. 200 words; 6 points possible) Essay 4: How are you a good match for this specific scholarship? Describe how the intent of this award will help you to achieve your educational and career goals. (100 words; 3 possible points"
 School of Music," The Edward M. Nagel Endowed Scholarship offers an opportunity for students to learn the foundation of business while applying their craft to the arts. This award is an opportunity for students pursuing professional careers in the arts, the entertainment industry, and non-profit organizations. The Edward M. Nagel Foundation strives to provide gifts and grants to economically disadvantaged young people pursuing entrepreneurial goals in education. Further information about philanthropist, business man, art collector, and community advocate Edward M. Nagel can be found at edwardmnagelfoundation.org and https: //www.facebook.com/ednagelfoundation.", Valid for graduating senior if accepted in the MA program and will be given the first semester;, Multiple:  All majors within the College of Liberal & Creative Arts," Undergrad:  Sophomore, Junior, Senior, Grad:  N/A", Continuing, Undergrad:  12 UNITS; Grad:  8 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Todd Feldman or Jeff Chun, BH 502B," 1600 Holloway, San Francisco, California 94132", (415) 338-1802, engrasst@sfsu.edu, http: //cose.sfsu.edu/wise, 1,"$2,500.00",English,11/17/2023,"Do you have at least one semester left before obtaining your degree, and will you enroll in classes in the upcoming fall semester? This scholarship is intended to support a student who is a single parent, a student who comes from a single parent household, or a Guardian Scholars Program student. Please select any of the below as they apply to you: Personal Statement: Awardees of this scholarship should demonstrate their experience as a single parent or the child of a single parent and describe their experience in the Guardian Scholars Program. Within this context, please provide a personal statement describing your academic and career goals. Your statement should answer the following questions: What are your reasons for applying for this scholarship? How do you intend to use your degree upon graduation? To what extent does your field of study benefit you and/or the larger community? See https://financialaid.sfsu.edu/scholarship-and-essay-tips. (200-word minimum and 500-word maximum) Financial Need Statement: Please provide a brief statement of financial need detailing how receiving this scholarship will assist you and enable you to achieve your academic and career goals, e.g., content such as parent’s education and occupations, disability or illness in the family, extenuating circumstances, single parent household, other siblings in college, cost of college tuition compared to how you will finance your education that describes your financial status. If you are currently working to support your education or are a participant in EOP, Guardian Scholars or related campus programs, please include this in your response. (100-word minimum and 200-word maximum) Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues, or mentors are highly recommended. Please be sure to communicate to the individual that you are listing them as a reference provider and give them context on the scholarship for which you are applying so they can tailor their reference. See https://financialaid.sfsu.edu/letters-recommendation for tips and guidelines on asking for letters of recommendation. If your reference provider cannot upload their reference letter to your application on the Award Management/Academic Works system directly before the online deadline, your scholarship application that’s missing a reference letter can’t be evaluated."
 Guardian Scholars Program/EOP, Foster and encourage continuing performance in a music ensemble at SF State by non-music majors through their college careers through forgivable loans to defray educational expenses.,"
1) Maintain a minimum GPA of 3.50 on HTM major courses.
2) Participation in the “Taste of the Bay” event.
3) Active career path towards Hotel Management
4) HTM student organizations involvement
5) Submission of a 750 essay describing how, if given unlimited resources and creativity, they would create the ultimate guest experience.", Multiple:  Any major other than Music, Undergrad:  Juniors and Seniors; Grad:  N/A, Continuing, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Arsham Pourfallah, BH 371," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-2660, tfeldman@sfsu.edu or jeffchun@sfsu.edu, http: //biology.sfsu.edu, varies,$900.00,College of Science and Engineering: School of the Environment - Environmental Studies,05/01/2024,"Please provide a brief history of the formation of the SFSU College of Ethnic Studies. Describe your commitment to the values of social justice, diversity and inclusivity. Why are these values important to you? What influenced your ideas and values? (Please limit your response to 250-500 words for this prompt.) How have you participated in service or activities that advance the values of social justice, diversity and inclusivity? What are your aspirations, your goals to be achieved in the future? How will achieving these goals make you a productive member of society? How are you using what you learn in your major/minor classes and otherwise preparing yourself to achieve your goals and aspirations. (Please limit your response to 250-500 words for this prompt.) How many college degree units or credits have you completed at SFSU or elsewhere?"
 School of Music," To support current and former foster youth in San Francisco State University’s Guardian Scholars Program to advance their access, success and graduation.", members of the IEEE student branch; at least a 2.75 GPA in engineering courses; has performed service to the engineering student body through beneficial engineering activities;, Any, Undergrad:  Any; Grad:  Masters/MFA (first year graduates are eligible), Continuing SF State Student, Undergrad:  FULL-TIME; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad or SF State GPA:  2.75; Grad GPA:  N/A, Cyrus Ginwala, HUM 484," 1600 Holloway Ave., San Francisco, California 94132", 415.338.2049, lcastudentservices@sfsu.edu, http: //beca.sfsu.edu, varies,"$1,500",Biology,04/01/2024,"What semester will you be graduating? Please upload a single PDF that includes the following, labeled and in order: 1. A statement that describes how you perceive your work to be interdisciplinary in no more than 300 words. 2. Digital Portfolio: 10 images of your artwork, and/or web links to audio/video. Images should be labeled with the work’s title, date, media, size, and other significant information. 3. Supporting Documentation: 1 additional page of written material to support your application, e.g. artist statement, resume, exhibition list. Unofficial SFSU Transcript Permission to Display Images: In view of your rights under U.S. Copyright laws, please review the following approval for internal and external use of images: By marking the checkbox below, you certify that you have granted San Francisco State University the Art Department and the funders and sponsors of these scholarships and fellowships permission to use your scholarship images on a royalty-free basis; to post the images on our and their web sites, publication and materials, both print and electronic, and to be made available for their other non-commercial uses, but others may not reproduce the images without permission of the owner."
 School of Nursing," To memorialize Michael Segrove Avalos, SF State music dept alumnus, by providing a prize for the winner of a piano competition open to all SF State piano majors.","
1) Part time minimum enrollment at SF State or enrolled in at least half-time at another college.
2) Applicants must include a detailed explanation of their academic achievement, supported by a letter of recommendation.", Single:  Music, Undergrad:  Any; Grad:  Any, Continuing, Undergrad:  FULL-TIME; Grad:  FULL-TIME, Not a Requirement, US Citizen, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Guardian Scholars Program,HSS 279/TH 509," 1600 Holloway, San Francisco, California 94132", (415) 338-1549, cginwala@sfsu.edu, http: //english.sfsu.edu/, varies,"$2,000",English,04/14/2024,"Please submit a short cover letter up to 350 words describing 1) your community involvement, and 2) your career interests in the local government or the public sector in general. Please upload current unofficial transcripts of your MPA coursework if you have completed at least one semester, OR unofficial transcripts of your last degree earned at any college/university if this is your first semester in the MPA program. Please upload your current resume Will you be enrolled at least half-time (4 units graduate or 6 units undergraduate) in the following FALL semester?"
 Engineering, To provide scholarship to financially needy nursing students at San Francisco State University completing their initial program in nursing.,"
1) Must be Fall 2019 entering cohort and after.
2) Scholarship applicants must be taking ACCT 890 for the first time and apply for the scholarship in the same semester as they file the ATC form and CE proposal.
3) Students with the highest combined cumulative graduate program GPA at the beginning of the semester they take ACCT 890 for the first time, will be selected.
4) Students whose combined cumulative graduate program GPA is below 3.00 at the beginning of the semester they take ACCT 890 for the first time are NOT eligible for the scholarship.
5) Students who repeat ACCT 890 are not eligible for the scholarship.
6) Students must pre-pay all required tuition and fees WITHOUT help of the scholarship.
7) The scholarship students receive from the San Francisco State Scholars Program in Accounting will be included in the students’ annual financial aid total. If the students’ financial aid has already been maximized from other sources, they will NOT receive the scholarship from the San Francisco State Scholars Program in Accounting.", Single:  Nursing," Undergrad:  Sophomore, Junior, Senior; Grad:  N/A", Any, Undergrad:  12 UNITS; Grad:  8 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, School of Music, HH 534," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-2660, gsp@sfsu.edu, http: //psychology.sfsu.edu, varies,"up to $4,000",Graduate College of Education,11/01/2017,Write a 500 word personal statement (include name) in response to the following questions: Why do you feel you deserve this award? What is your experience? What distinguishes your work? What are the qualities that you bring to this area of study? What are your career goals? Please upload current resume Please upload your latest transcript. Unofficial transcripts are acceptable.
 Geography and Environment," To be used for scholarships for Engineering major students on the basis of scholarship, need, and promise in chosen field.", Underrepresented groups within Education are encouraged to apply., Single:  Engineering, Undergrad:  Any; Grad:  Any, Any, Undergrad:  HALF-TIME; Grad:  N/A, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, School of Nursing, HUM 484," 1600 Holloway, San Francisco, California 94132", (415) 338-3558, music@sfsu.edu, http: //music.sfsu.edu, 1,varies,Public Affairs and Civic Engagement (PACE),04/24/2024,"Will you be enrolled in the Fall 2024 semester? In under 700 words total, please briefly discuss: 1. What are your main areas of focus in the BECA major (theory/research; news; radio/podcasting; sports broadcasting; scriptwriting; audio production/design; video production/design; documentary; interactive/online media; other)? 2. What would you like to get out of the BECA program (career preparation, graduate-school preparation, creative skills, etc.) and how do you plan to put your knowledge into practice after you graduate? 3. What has been your strongest contribution to the BECA community? This could be related to your coursework, participation in classes, contributions to group projects, projects achieved on your own, participation in department organizations and events, etc. 4. Your financial need and how this scholarship will support your goals."
 Computer Science Department, To provide teaching assistants for active faculty and research or travel funding for classified Masters students in the Department of Geography & Environment.,"
1. Students enrolled as music majors in the School of Music, pursuing any program or instrument can apply.
2. Students must be enrolled in at least four (4) units per semester in the School of Music to receive the scholarship (part-time and full-time students can apply).
3. Applicants must submit a portfolio or audition."," Single:  Geography,"," Undergrad:  Junior, Senior; Grad:  Entry Level Masters", Any, Undergrad:  N/A; Grad:  1 UNIT, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, School of Engineering, BH 244," 1600 Holloway, San Francisco, California 94132", (415) 338-1802, ccarr@sfsu.edu, http: //dos.sfsu.edu/content/student-life, varies,"$1,000.00",Nursing,03/31/2024,"Do you have at least one semester left before obtaining your degree, and will you enroll in classes in the upcoming fall semester? To be eligible for this scholarship, you must be graduating from a high school within the San Francisco Unified School District. Please select your high school from the list below. Personal Statement: Awardees of this scholarship should provide a personal statement describing their academic and career goals. Your personal statement should be between a total of 200 words (minimum) and 500 words (maximum) for all 4 questions combined. Please see the ""Help Text"" for detailed information about each question.See https://financialaid.sfsu.edu/scholarship-and-essay-tips. 1. What are your academic and career goals? 2. Do you have any personal and/or academic accomplishments? If so, what are they? 3. Describe your involvement with high school activities or community service. 4. Describe any educational or economic challenges you face, particularly in meeting your college goals. Financial Need Statement: Please provide a brief statement of financial need detailing how receiving this scholarship will assist you and enable you to achieve your academic and career goals, e.g., content such as parent’s education and occupations, disability or illness in the family, extenuating circumstances, single parent household, other siblings in college, cost of college tuition compared to how you will finance your education that describes your financial status. If you are currently working to support your education or are a participant in EOP, Guardian Scholars or related campus programs, please include this in your response. (100-word minimum and 200-word maximum) Please upload your current high school transcript. Unofficial transcripts are acceptable. Show 1 more"
 Modern Languages and Literatures, Support Undergraduate students majoring in Computer Science,"
1) Must have at most one academic year left at SF State.
2) Students who meet the AB540 definition are eligible to apply.", Computer Science," Undergrad:  Upper Division(Junior/Senior), Grad:  N/A", Continuing, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, School of the Environment, HSS 242," 1600 Holloway, San Francisco, California 94132", (415) 338-1471, engineer@sfsu.edu, http: //sxs.sfsu.edu/content/deborah-tolman-honarary-scholarship, varies,"$15,000.00",College of Liberal & Creative Arts,03/27/2024,"A personal statement (typed, double-spaced, not to exceed two paragraphs) describing how your studies of cinema have influenced your filmmaking style and/or goals. Showreel (submitted via a Vimeo or YouTube link) demonstrating talent in one of the following: cinematography/lighting; sound recording/mixing; special visual effects; art direction/set design; or another category to be designated by the applicant. Will you be enrolled at least half-time (1 unit undergraduate, 1 unit graduate) during the Fall 2024? Please upload unofficial transcript"
 History, To provide scholarship awards for SFSU undergraduate and graduate students pursuing a degree in Italian.,"
1) Current SF State undergraduate seniors and undergraduate alumni who have applied to an SF State’s master’s degree program.
2) Two letters of recommendation from San Francisco State University faculty.
3) A 250-500 word essay describing why the student has selected a master’s program at San Francisco State University.
4) Applicants must enroll as a matriculated graduate student in a minimum of six units toward the degree for the award period.
5) Applicants enrolled as an undergraduate in the SF State Scholars Program (blended bachelor’s/master’s) are not eligible until they enroll as a matriculated graduate student in the award period.", Single:  Italian," Undergrad:  N/A, Grad:  Masters", Any, Undergrad:  HALF-TIME; Grad:  3 UNITS,N/A, US Citizen and Permanent Resident, HS GPA:  N/A; Undergrad GPA:  N/A; SF State Grad GPA:  3.3, Computer Science Department, BH 371," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-1604,sote@sfsu.edu, _https: //cob.sfsu.edu/admissions/scholarships, 1,"Number of awards and amounts vary, up to $10,000 total (single award not to exceed $7,000)",History,09/01/2024,"How do you think queer ethnic studies can incite social change? (250 words) How does your graduate work/research focus on the intersection of race and gender or sexuality? (max 500 words) Upload your c.v. Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be a professor or community leader familiar with your academic, professional and/or community work. Please be sure to communicate to the individual that you are listing them as a reference provider and give them context on the scholarship for which you are applying so they can tailor their reference."
 English, To recognize on an annual basis the academic achievements of a graduate student in history whose field is European Studies (before or after 1500) and to reward that student financially.,"
1) Students are selected from the pool of graduate school applicants to the Dept. of Biology.
2) Students must complete an AcademicWorks General Application in order to be auto-matched to the scholarship.
3) Students must be in good standing and are productive with the work they are doing.
4) Scholarship is for educational expenses.", Single:  History," HS Seniors:  N/A; Undergrad:  Sophomore, Junior and Senior; Grad:  N/A", Any, Undergrad:  N/A; Grad:  3 UNITS, Not a requirement, Any, HS GPA:  3.0; Undergrad GPA:  3.0; Grad GPA:  3.0, Elisabetta Nelsen, MH 404," 1600 Holloway, San Francisco, California 94132", (415) 405-4109, csgrad@sfsu.edu, http: //fina.sfsu.edu/scholarships, 2,varies,Music,,"A two-page, up-to-date statement of purpose indicating goals for graduate study and future career in the field of applied linguistics or TESOL. Please upload an SFSU unofficial transcript here. Write a brief statement about financial need."
 Hospitality & Tourism Management, To provide financial support for students interested in literature based on queer / gay / lesbian / bisexual / transsexual perspectives., N/A, Any," Undergrad:  Any, Grad:  Any", Continuing SF State Students or newly Enrolled New Admits, Undergrad:  6 UNITS; Grad:  6 UNITS, Not a Requirement, Any, HS GPA:  2.5; Undergrad GPA:  2.5; Grad GPA:  2.5, History Department, HUM209," 1600 Holloway Ave, San Francisco, California 94132", (415) 405-0736, enelsen@sfsu.edu,, 4,"$5,000",College of Science and Engineering,02/29/2024,"Please upload an SFSU unofficial transcript here. Faculty Reference 1 A 500-word essay on your interest in literature, its place in the public humanities, and the role our department has played in fostering these interests. If chosen for the scholarship award, will you have a commitment to serving an ambassadorial role for the English major at department events or participation in other outreach projects for the major?"
 Engineering, The intent of this scholarship is for students in need to develop career potential in Hospitality & Tourism Management and award of merit performance in academic and hospitality related experiences.,, Hospitality & Tourism Management," Undergrad:  N/A, Grad:  Masters", Continuing, Undergrad:  1 UNIT; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad Cumulative or SF State GPA:  3.0; Grad Cumulative or SF State GPA:  3.0, English Department, CA 141," 1600 Holloway, San Francisco, California 94132", (415) 405-3591, history@sfsu.edu, https: //lca.sfsu.edu/scholarships," 5 Fall, 5 Spring",varies,Biology,04/01/2015,"To be eligible for this scholarship, you must either be an International Student at SF State or a student enrolling in or currently participating in the Study Abroad Program in Taiwan with an interest in improving relations and cultural exchange between Taiwan and the United States. Please confirm your eligibility by selecting one of the options below: Personal Statement—Study Abroad Students: Please describe your interest or participation in the study of Taiwan and Taiwanese culture as well as your academic and career goals. Be sure to include the name of your (planned) host institution in Taiwan. Personal Statement—International Students: Please describe your experience as an International Student at SF State and your interest in improving relations and cultural exchange between the United States and Taiwan. (200-word minimum and 500-word maximum) Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues or mentors are highly recommended. Please be sure to inform the individual that you are listing them as a reference provider and provide them context on the scholarship for which you are applying so they can tailor their reference accordingly.Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues or mentors are highly recommended. Please be sure to inform the individual that you are listing them as a reference provider and provide them context on the scholarship for which you are applying so they can tailor their reference accordingly. See https://financialaid.sfsu.edu/letters-recommendation for tips and guidelines on asking for letters of recommendation. If your reference provider cannot upload their reference letter to your application on the Award Management/Academic Works system directly before the online deadline, your scholarship application that’s missing a reference letter can’t be evaluated. If your reference provider cannot upload their reference letter to your application on the Award Management/Academic Works system directly before the online deadline, your scholarship application that’s missing a reference letter can’t be evaluated."
 Division of Student Life, To promote excellence and dedication to professional electrical engineering activities.,"
1) Statement of goals to include: 
a. Bilingual and underserved experiences, and
b. Desire to work in the underserved community
2) Statement of financial need.
NOTE:  FNP Certificate students who are selected will be awarded in a form of honorarium which may have tax implications.", Single:  Electrical Engineering," Undergrad:  Any, Grad:  Masters/Credential/2nd BA", Continuing/Currently enrolled SF State student, Undergrad:  HALF-TIME; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  2.7; Grad GPA:  N/A, Hospitality and Tourism Management Department, HH 534," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-1787, english@sfsu.edu, http: //math.sfsu.edu/scholarships.php, varies,$3131,Broadcast and Electronic Communication Arts,03/31/2018,"Please write a statement that demonstrates your interest in community service with the underserved and/or in holistic health. The written statement should focus on: a) a detailed description of community service particularly with the underserved, b) experience and relevant coursework in holistic health, and c) type and setting of nursing expected to be practiced."
 Accounting, To provide assistance and support to the educational advancement of students by awarding money to eligible SF State students.,"
1) Students who qualify for this scholarship must self-describe financial need.
2) Preference to be given to students who have demonstrated commitment to and involvment with the M.A. TESOL Program and/or who show promise as professionals in the field base on past or current experience.", All majors in the College of Education, HS Seniors:  N/A; Undergrad:  Any; Grad:  N/A, Any, Undergrad:  N/A; Grad:  4 UNITS, Not a requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, School of Engineering, HH 534," 1600 Holloway, San Francisco, California 94132", (415) 338-2660, lshroder@sfsu.edu, http: //classics.sfsu.edu/, Varies,$300.00,English,04/15/2024,Submit an essay of no more than 1000 words addressing the following: What are significant factors or events in your life that have affected your desire or ability to attend college? What academic achievements are you most proud of? What are your career goals? Submit most current unofficial academic transcript. Please upload the academic transcript. Confidential Recommendation Letter
 Graduate College of Education, To help students finance their graduate studies and related educational expenses.,"
1) 2 ENVS courses completed.
2) Preference is given to single parents (not required of all applicants).", Single:  Accountancy (Blend) MS," Undergrad:  sophomores, juniors, and non-graduating seniors, Grad:  N/A", Continuing, Undergrad:  N/A; Grad:  3 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Division of Student Life, MH 339," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-2167, engrasst@sfsu.edu, http: //coe.sfsu.edu/grad/scholarship-listings, Varies,varies,Psychology,03/05/2023,"Are you an undergraduate Creative Writing or Women and Gender Studies major who will be enrolled full time in Spring 2024? (if not, you are not eligible for this scholarship) Please upload your entry for the Tillie Olsen Prize."
 Labor and Employment Studies," To provide assistance to current and prospective students in the Graduate College of Education that lead to a teaching, specialist, or service credential. Students in any MA concentration or Ph.D or EDD program is eligible to apply.", Department chair nominates from semester pool of graduate teaching assistants.," Degree concentrations eligible to apply:  Elementary Education, Language & Literacy, Math Education, Early Childhood Education, Adult Education, Secondary Education, Equity and Social Justice, Special Interest, Ed Admin, Instructional Technologies, Jt. Doc in SPED, Special Education, Communicative Disorders, EDD in Educational Leadership.", Graduating Senior; Grad:  Masters/Credential/PhD, Any, Undergrad:  N/A; Grad:  HALF-TIME, Not Required to file a FAFSA, Any, HS GPA:  N/A; Undergrad SF State GPA:  3.0; Grad SF State GPA:  3.0, Accounting Department, HUM 484," 1600 Holloway Avenue, San Francisco, California 94132", (415) 405-4109, dos@sfsu.edu, http: alumni.sfsu.edu, Varies,$2000,Music,03/31/2017,"Are you a first generation college student? Yes or No. In 500 words or less, please tell us about your biographical background, career goals, and your financial need. In 500 words or less, please tell us about your leadership activities on campus and discuss the two greatest ways you have demonstrated leadership at SF State. Upload a copy of your resume. Please make sure to include any leadership roles you have held at SF State."
 Department of Music," The fund shall be used to promote Labor Studies at the University, encouraging students who wish to study women’s issues within the field of labor studies.", Financial need, Single:  Labor and Employment Studies, Undergrad:  N/A; Grad:  Masters, Any, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Ty Robinson, EP 301," 1600 Holloway, San Francisco, California 94132", (415) 338-3888, jhkim@sfsu.edu, https: //cob.sfsu.edu/economics/scholarships, 1,$500.00,Associated Students,07/07/2022,Undergraduate papers should be 10-15 pages in PDF format Graduate papers should be 15-20 pages in PDF format
 Chemistry and Biochemistry," purpose of the Ginwala Family Music Endowment Fund is to assist the School of Music in its desire to provide significant scholarship support to promising student musicians, with an emphasis on promoting equity and inclusion, especially for under-represented populations and for closing the opportunity gap."," All graduate concentrations in Graduate College of Education and multiple, single, specialist credentials.", Music, Undergrad:  N/A; Grad:  Masters/Credential/PhD/EDD, Continuing SF State student, Undergrad:  4 UNITS; Grad:  4UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.5,John Logan, CA 141," 1600 Holloway, San Francisco, California 94132", (415) 405-3570, tyrob11@sfsu.edu, https: //environment.sfsu.edu/, 3,varies,Sexuality Studies,11/01/2024,"Essay 1: Where have you been? Describe your previous community service and impact, relevant work experience, or other life experiences that qualify you for a GCOE scholarship. (approx. 200 words; 6 points possible) Essay 2: Where do you want to go? Describe your educational and career goals, why these are important to the communities that you are going to serve, and how a scholarship could help you meet these goals. (approx. 200 words; 6 points possible) Essay 3: What do you need? Describe your working situation or other financial circumstances that increase your need for assistance. (approx. 200 words; 6 points possible) Essay 4: How are you a good match for this specific scholarship? Describe how the intent of this award will help you to achieve your educational and career goals. (100 words; 3 possible points"
 Division of Graduate Studies," The purpose of the Michael and Greta McKinney Chemistry & Biochemistry Scholarship is to assist promising SF State rising senior, junior and sophomore undergraduate students in chemistry or biochemistry who demonstrate outstanding academic merit and financial need.", Preference given to students in Long-Term Care Administration emphasis.," Multiple:  Chemistry, Biochemistry"," Undergrad:  Sophomore, Junior, Senior; Grad:  N/A", Any, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  2.5; Undergrad GPA:  2.5; Grad GPA:  2.5, Brad Hogarth, SSB 403," 1600 Holloway, San Francisco, California 94132", (415) 338-1276, jlogan@sfsu.edu, coe.sfsu.edu/, varies,varies,College of Business,03/30/2018,"An essay of less than 1000 words covering the following topics: (a) description of your research and how it relates to conservation biology for a broad audience; (b) your professional goals; and (c) the impact of the scholarship would have on your life. Recommendation from your primary research mentor / SFSU academic advisor. The recommendation should detail the faculty member’s familiarity with the student, the value of the student’s proposed research, and the student’s ability to successfully conduct and complete the proposed project. Must be received by May 31st. A second recommendation letter from a faculty member or a supervisor. Must be received by May 31st. Unofficial transcripts for all previous and current graduate and undergraduate work"
 Pre-Health Professions, To provide incentives and opportunities to San Francisco State University undergraduate seniors and undergraduate alumni to enroll in a master’s degree program at SF State University.,"
1) Undergraduate student in Nursing expected to graduate within two years of receiving the scholarship (i.e., an awardee should be entering Junior year).
2) Demonstrated fluency in Cantonese and English (verbal required, verbal and written preferred).
3) An interview by scholarship committee is preferred.
4) Statement of financial need, professional goals and how well the applicant speaks Cantonese and writes Chinese.
5) Two to three reference letters from faculty and/or employer.
6) All scholarships awarded shall generally be for two academic years in succession. The student must maintain good academic standing to be eligible for the second year award.", Any," Undergrad:  Freshman, Sophomore, Junior, Senior, Credential; Grad:  Masters/MFA", Continuing, Undergrad:  N/A; Grad:  6 UNITS, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.5, Lilian Gathua, HSS 370," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-1219, hogarth@sfsu.edu, http: alumni.sfsu.edu," varies
Amount of Award* varies",Varies,Family Interiors Nutrition & Apparel,04/05/2024,"Are you a single parent with at least one child under the age of 18, currently living with you? Are you currently enrolled at least half time (6 units) and plan to continue with at least 6 units as an undergraduate next semester? (Awards are distributed in the Spring semester). Please upload a personal statement that specifically addresses: a. your motivation for pursuing a degree as a single parent; b. your short-term and long-term career goals; c. your academic background and achievements; d. a description of your past, current or planned engagement in community service or volunteer work that serves children; e. your paid or volunteer work experience; f. your financial need; g. any adversity you’ve overcome in pursuing your education. Submission should be no more than 3 pages long. Please upload your current unofficial transcript(s)."
